   ,WR#,DESCR,WRST_CD,VERS_ID_SEQ,VER_TYP,SCAN_DOC,URL_SCAN_CHAU_DOC
1,40A 30022892,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40A&WR_Number=30022892&Extension=&WR_Type=PROVISIONAL PERMIT,
2,40A 30047210,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40A&WR_Number=30047210&Extension=&WR_Type=GROUND WATER CERTIFICATE,
3,40A 30049157,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40A&WR_Number=30049157&Extension=&WR_Type=PROVISIONAL PERMIT,
4,40A 30105384,PROVISIONAL PERMIT,PEND,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40A&WR_Number=30105384&Extension=&WR_Type=PROVISIONAL PERMIT,
5,40B 29670 00,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40B&WR_Number=29670&Extension= 00&WR_Type=GROUND WATER CERTIFICATE,
6,40B 55980 00,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40B&WR_Number=55980&Extension= 00&WR_Type=GROUND WATER CERTIFICATE,
7,40C 30014686,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40C&WR_Number=30014686&Extension=&WR_Type=PROVISIONAL PERMIT,
8,40C 30063239,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40C&WR_Number=30063239&Extension=&WR_Type=PROVISIONAL PERMIT,
9,40C 30105634,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40C&WR_Number=30105634&Extension=&WR_Type=PROVISIONAL PERMIT,
10,40C 30160973,PROVISIONAL PERMIT,PEND,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=40C&WR_Number=30160973&Extension=&WR_Type=PROVISIONAL PERMIT,
